equipo,arena,latitude,longitude,tm,logo,color
Gran Canaria,Gran Canaria Arena,28.10308200222156,-15.456896903683322,GCA,https://static.acb.com/img/2/58/5b/75611.png,#FFB718
Joventut Badalona,Palau Municipal D´Esports de Badalona,41.4426848150727,2.232038842544811,JOV,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,BKN,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,BET,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,BAX,https://static.acb.com/img/31/9/2f/75632.png,#D5001E
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,UCM,https://static.acb.com/img/14/31/34/75635.png,#A51A14
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,FUE,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA
Monbus Obradoiro,Multiusos Fontes do Sar,42.87640091313994,-8.530649001605413,MOB,https://static.acb.com/img/www/clubes2023/MonbusObradoiro_Positivo.png,#4A96C4
Bàsquet Girona,Palau Girona-Fontajau,41.99106442107368,2.8105742658463644,GIR,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logopositivo2223.png,#B32836
Barça,Palau Blaugrana,41.3802205350011,2.1201211695310715,BAR,https://static.acb.com/img/www/clubes2023/barca_logopos.png,#154284
Valencia Basket,Pabellón Fuente de San Luis,39.45188248874301,-0.3660431016680829,VBC,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F
Unicaja,Palacio de Deportes José María Martín Carpena,36.68279217722466,-4.460469972879309,UNI,https://static.acb.com/img/www/clubes2022/Logoescudo_unicaja2.png,#3D9C35
Surne Bilbao Basket,Bilbao Arena,43.252351650418106,-2.9261184727627896,SBB,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000
Río Breogán,Pazo Provincial dos Deportes de Lugo,42.99112162431948,-7.545301072767826,BRE,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA
Real Madrid,WiZink Center,40.4240337619823,-3.671751201650836,RMB,https://static.acb.com/img/20/22/3d/75629.png,#FEBE10
Coviran Granada,Palacio Deportes Granada,37.15424932400022,-3.5936020041126646,COV,https://static.acb.com/img/www/clubes2023/coviran-granada_logopositivo.png,#C2213C
Lenovo Tenerife,Pab. Dep. Tenerife Santiago Martín,28.45934431808708,-16.296844528818482,LNT,https://static.acb.com/img/www/clubes2021/LenovoTenerife-pos-vert.png,#E9CD5F
Casademont Zaragoza,Pabellón Príncipe Felipe,41.699492152676626,-0.8766544769103839,CAZ,https://static.acb.com/img/3a/16/1c/logo_zza_2020.png,#C8102E
